Ticker,ISIN,Name,Company Common Name,Business Description,ICB Subsector code
LNT.O,US0188021085,ALLIANT ENERGY/d,Alliant Energy Corp,"Alliant Energy Corporation operates as a regulated investor-owned public utility holding company. The Company's segments include Utility and Non-regulated, Parent and Other. The Utility segment includes the operations of Interstate Power and Light Company (IPL) and Wisconsin Power and Light Company (WPL), which serve retail customers in Iowa and Wisconsin. The Utility segment includes utility electric operations, utility gas operations and utility other, which includes steam operations and the unallocated portions of the utility business. Its Non-regulated, Parent and Other segment includes the operations of Alliant Energy Resources, LLC and its subsidiaries; Alliant Energy Corporate Services, Inc. (Corporate Services); the Alliant Energy parent company, and any Alliant Energy parent company consolidating adjustments. IPL and WPL own a portfolio of electric generating units located in Iowa, Wisconsin and Minnesota with a fuel mix, including coal, natural gas and renewable resources.",65101015
LOPE.O,US38526M1062,GRAND CANYON E/d,Grand Canyon Education Inc,"Grand Canyon Education, Inc. is engaged in the provision of postsecondary education. The Company is a regionally accredited university. The Company offers the degrees, including Doctor of Education, Doctor of Business Administration, Doctor of Nursing Practice, Doctor of Philosophy, Education Specialist, Master of Divinity, Master of Arts, Master of Education, Master of Business Administration and Master of Public Administration, Master of Public Health, Master of Science, Bachelor of Arts, Bachelor of Science, and a range of programs for its degrees. It also offers certificate programs, which consist of a series of courses focused on a particular area of study for both the post-baccalaureate and post-graduate students. The Company offers its ground-based programs to students through three 15-week semesters in a calendar year and to online students in courses that generally range from 5 to 16 weeks throughout the calendar year.",40201010
LOW,US5486611073,LOWES COMPANIE/d,Lowe's Companies Inc,"Lowe's Companies, Inc. (Lowe's) is a home improvement company. The Company operates home improvement and hardware stores. The Company offers a range of products for maintenance, repair, remodeling and decorating. The Company offers home improvement products in categories, including Appliances, Seasonal and Outdoor Living, Lawn and Garden, Lumber, Kitchens and Bath, Tools, Paint, Millwork, Hardware, Flooring, Rough Plumbing, Building Materials, Decor, Lighting, and Electrical. Through its Websites and mobile applications, it provides an online product information, customer ratings and reviews, online buying guides and how-to videos and other information. It serves homeowners, renters, and professional customers. It offers installation services through contractors in its product categories, with Appliances, Flooring, Kitchens and Bath, Lumber, Building Materials, and Millwork.",40401025
LPX,US5463471053,LOUISIANA PACI/d,Louisiana-Pacific Corp,"Louisiana-Pacific Corporation is a manufacturer of building products. The Company's products are used in home construction, repair and remodeling, and outdoor structures. The Company operates in four segments, which include North America Oriented Strand Board (OSB), Siding, Engineered Wood Products (EWP) and South America. The OSB segment manufactures and distributes OSB structural panel products. The Siding segment offers two categories of products, which include SmartSide siding products and related accessories, and CanExel siding and accessories and other related products. The Engineered Wood Products (EWP) segment manufactures and distributes laminated veneer lumber, I-Joists, laminated strand lumber and other related products. The South American segment manufactures and distributes OSB and siding products in South America and certain export markets. Its engineered I-joists are used in residential and commercial flooring, and roofing systems and other structural applications.",50101035
LRCX.O,US5128071082,LAM RESEARCH/d,Lam Research Corp,"Lam Research Corporation is a supplier of wafer fabrication equipment and services to the semiconductor industry. The Company designs, manufactures, markets, refurbishes and services semiconductor processing systems that are used in the fabrication of integrated circuits (ICs). It operates through manufacturing and servicing of wafer processing semiconductor manufacturing equipment segment. Its products are designed to enable its customers build a range of devices that are used in a range of electronic products, including cell phones, tablets, computers, storage devices, and networking equipment. Its customer base includes semiconductor memory, foundry, and integrated device manufacturers (IDMs) that make products, such as dynamic random-access memory (DRAM), negative-AND (NAND) memory and logic devices. It offers a portfolio of products that are used in several areas of the semiconductor manufacturing process flow, including thin film deposition, plasma etch and single-wafer clean.",10102020
LSCC.O,US5184151042,LATTICE SEMIC/d,Lattice Semiconductor Corp,"Lattice Semiconductor Corporation is a low power programmable solution provider that develops technologies and monetizes through differentiated programmable logic semiconductor products, system solutions, design services and licenses. The Company is focused on solving customer problems across the network, from the Edge to the Cloud, in the communications, computing, industrial, automotive and consumer markets. It is focused on delivering programmable logic products and related solutions based on low power and small size. It also serves its customers with intellectual property (IP) licensing and various other services. Its product development activities include new products, advanced packaging, existing product enhancements, software development tools, soft IP, and system solutions for high-growth applications such as Edge Artificial Intelligence, fifth generation (5G) infrastructure, platform security and factory automation. It also offers field programmable gate array (FPGA) devices.",10102010
LSI,US53223X1072,LIFE STORAGE I/d,Life Storage Inc,"Life Storage, Inc. is a self-managed real estate investment trust (REIT) that acquires, owns and manages self-storage properties. The Company owns its assets and conducts its operations through the Operating Partnership. Life Storage Holdings, Inc., is its wholly-owned subsidiary. The Company operates over 880 storage facilities in 29 states and in Ontario, Canada. Among its 880 self-storage properties, over 122 properties.The Company’s properties are located in various states of the United States, such as Alabama, Arizona, Colorado, California, Florida, Georgia, Maine, Kentucky, Nevada, New Jersey, Ohio, North Carolina, South Carolina, Texas, Utah and Virginia.",35102050
LSTR.O,US5150981018,LANDSTAR SYS/d,Landstar System Inc,"Landstar System, Inc. (Landstar) is an asset-light provider of integrated transportation management solutions. The Company offers services to its customers across multiple transportation modes, with the ability to arrange for individual shipments of freight to enterprise solutions to manage customer's transportation needs. It operates in two segments: the Transportation Logistics segment and the Insurance segment. The Transportation Logistics segment provides a range of integrated transportation management solutions. Transportation services offered by it include truckload and less-than-truckload transportation, rail intermodal, air cargo, ocean cargo, expedited ground and air delivery of time-critical freight, heavy-haul or specialized, the United States-Canada and the United States-Mexico cross-border, project cargo and customs brokerage. The insurance segment consists of Signature Insurance Company, which is an offshore insurance subsidiary, and Risk Management Claim Services, Inc.",50206010
LULU.O,US5500211090,LULULEMON ATHL/d,Lululemon Athletica Inc,"lululemon athletica inc. is a designer, distributor and retailer of lifestyle inspired athletic apparel and accessories. The Company’s segments include Company-operated stores and direct to consumer. Its apparel assortment includes items such as pants, shorts, tops, and jackets designed for a healthy lifestyle including athletic activities such as yoga, running, training, and other sweaty pursuits. It also offers fitness-related accessories. Its direct to consumer segment includes electronic commerce Website www.lululemon.com, other country and region-specific websites, and mobile applications, including mobile applications on in-store devices. Its Company-operated stores include approximately 491 stores. Its Company-operated stores are branded lululemon and ivivva. The ivivva branded stores specializes in athletic wear for female youth. It also offers weekly live classes, on-demand workouts and one-on-one personal training through its subsidiary.",40204020
LUMN.K,US5502411037,LUMEN TCHNLG O/d,Lumen Technologies Inc,"Lumen Technologies, Inc., formerly CenturyLink, Inc., is an integrated communications company. The Company is engaged in providing an array of communications services to its residential and business customers. The Company operates five segments; International and Global Accounts Management (IGAM), Enterprise Segment, Small and Medium Business (SMB), Wholesale Segment and Consumer Segment. The Company provides Internet Protocol (IP) and Data Services which includes Virtual private network (VPN) data networks, Ethernet, IP, content delivery and other ancillary services; Transport and Infrastructure it includes wavelengths, dark fiber, private line, data center services, including cloud, hosting and application management solutions, and professional services; Voice and Collaboration provides local and long-distance voice, including wholesale voice, and VoIP services; and Broadband services offers high and low-speed fiber based Digital subscriber line (DSL) broadband services.",15102015
LUV,US8447411088,SW AIRLINES/d,Southwest Airlines Co,"Southwest Airlines Co. (Southwest) operates Southwest Airlines, a passenger airline that provides scheduled air transportation in the United States and near-international markets. The Company provides point-to-point service. The Company offers ancillary service offerings, such as Southwest's EarlyBird Check-In and transportation of pets and unaccompanied minors, in accordance with Southwest's respective policies. Southwest's Rapid Rewards frequent flyer program enables program members (Members) to earn points for every dollar spent on Southwest fares. Its Internet Website, Southwest.com, is an avenue for Southwest customers to purchase and manage travel online. As of December 31, 2016, Southwest operated a total of 723 Boeing 737 aircraft and served 101 destinations in 40 states, the District of Columbia, the Commonwealth of Puerto Rico, and eight near-international countries: Mexico, Jamaica, The Bahamas, Aruba, Dominican Republic, Costa Rica, Belize, and Cuba.",40501010
LVS,US5178341070,LAS VEGAS SAND/d,Las Vegas Sands Corp,"Las Vegas Sands Corp. is a developer of destination properties (integrated resorts) that feature accommodations, gaming, entertainment and retail, convention and exhibition facilities, celebrity chef restaurants and other amenities. The Company owns and operates integrated resorts in Asia and the United States. The Company's principal operating and developmental activities occur in three geographic areas: Macao, Singapore and the United States. In Macao, the Company's segments include The Venetian Macao; Sands Cotai Central; The Parisian Macao; Four Seasons Macao; Sands Macao, and Other Asia (comprises the Company's ferry operations and various other operations). In Singapore, the Company's segments include Marina Bay Sands. In the United States, the Company's segment is Las Vegas Operating Properties. The Company also offers players club loyalty programs at its properties, which provides access to rewards, privileges and members-only events.",40501020
LW,US5132721045,LAMB WESTON HL/d,Lamb Weston Holdings Inc,"Lamb Weston Holdings, Inc. (Lamb Weston), is a supplier of frozen potato, sweet potato, appetizer and vegetable products to restaurants and retailers around the world. The Company's segments include Global, Foodservice, Retail and Other. The Global segment includes operations associated with Lamb Weston’s business with large chain restaurant customers, whether those results are generated in the United States or abroad, as well as operations associated with retail and foodservice customers located outside of the United States and Canada. The Foodservice segment includes sales to a line of foodservice distribution customers in the United States and Canada. The Retail reporting segment includes sales to grocery, mass, club, and specialty retailers primarily in the United States. The Other segment includes the operations from Lamb Weston’s frozen vegetable business. It also includes the operations from Lamb Weston’s dairy business.",45102020
LYB,NL0009434992,LYONDELLBASEL /d,LyondellBasell Industries NV,"LyondellBasell Industries N.V. is a plastics, chemicals and refining company. The Company operates through its Advanced Polymer Solutions segment. It produces olefins and polyethylene (PE) and polypropylene (PP), high density polyethylene (HDPE), low density polyethylene (LDPE) and linear low density polyethylene (LLDPE). It produces PP homopolymers, PP impact copolymers and PP random copolymers. PP compounds are produced from blends of polyolefins and additives and are sold to the automotive and home appliances industries. Its engineered composites are lightweight, materials that are used in infrastructure, aerospace and automotive applications such as headlamps. It also manufactures powders, which is a specialty particle materials used in coatings, rotational molding, toll compounding and other technical applications. Masterbatches is a coloring and additive materials used in the production of paper, paint and plastic goods around the world.",55201020
LYV,US5380341090,LIVE NATION EN/d,Live Nation Entertainment Inc,"Live Nation Entertainment, Inc. is a live entertainment company. The Company's businesses consist of the promotion of live events, including ticketing, sponsorship and advertising. Its segments include Concerts, Sponsorship & Advertising, Ticketing and Artist Nation. The Concerts segment is engaged in promotion of live music events in its owned or operated venues and in rented third-party venues; operation and management of music venues; production of music festivals, and creation of associated content. The Ticketing segment is an agency business that sells tickets for events on behalf of its clients. The Artist Nation segment provides management services to music artists in exchange for a commission on the earnings of artists. The Sponsorship & Advertising segment employs sales force that creates and maintains relationships with sponsors to allow businesses to reach customers through its concert, venue, artist relationship and ticketing assets, including advertising on its Websites.",40501030
MA,US57636Q1040,MASTERCARD I O/d,Mastercard Inc,"Mastercard Incorporated is a technology company that connects consumers, financial institutions, merchants, governments and businesses across the world, enabling them to use electronic forms of payment. The Company allows user to make payments by creating a range of payment solutions and services using its brands, which include MasterCard, Maestro and Cirrus. It provides a range of products and solutions that support payment products, which customers can offer to their cardholders. The Company's services facilitate transactions on its core network among account holders, merchants, financial institutions, businesses, governments and other organizations in markets globally. Its products include consumer credit, consumer debit, prepaid and commercial credit and debit. It also provides integrated offerings such as cyber and intelligence products, information and analytics services, identity verification services, consulting, loyalty and reward programs, processing and open banking.",50205015
MAA,US59522J1034,MID AM APT COM/d,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities, Inc. is a multifamily focused, self-administered and self-managed real estate investment trust (REIT). The Company owns, operates, acquires and develops apartment communities primarily located in the Southeast and Southwest regions of the United States. It operates through three segments: Large market same store, Secondary market same store and Non-Same Store and Other. Its Large market same store communities are communities in markets with a population of at least one million and at least 1% of the total public multifamily REIT units that it has owned. Its Secondary market same store communities are communities in markets with populations of more than one million but less than 1% of the total public multifamily REIT units or markets with populations of less than one million that it has owned. Its Non-same store communities and other includes recent acquisitions and communities in development or lease-up communities.",35102040
MAC,US5543821012,MACERICH/d,Macerich Co,"The Macerich Company is a self-administered and self-managed real estate investment trust (REIT). The Company is focused on the acquisition, ownership, development, redevelopment, management, and leasing of regional shopping centers located throughout the United States. The Company owns ownership interests in The Macerich Partnership, L.P. (the Operating Partnership). The Company, through its operating partnership, owns ownership interests in 51 million square feet of real estate consisting primarily of 47 regional shopping centers. The Company's properties are concentrated in California, Arizona and the eastern United States including Santa Monica Place, Scottsdale Fashion Square, Queens Center, Kings Plaza, Tysons Corner Center and Fashion Outlets of Chicago.",35102045
MAN,US56418H1005,MANPOWER GROUP/d,ManpowerGroup Inc,"ManpowerGroup Inc. is a provider of workforce solutions and services. The Company's segments include Americas, Southern Europe, Northern Europe, Asia Pacific Middle East (APME), Right Management and Corporate. The Company's Americas segment includes operations in the United States and Other Americas. Its Southern Europe segment includes operations in France, Italy and Other Southern Europe. Its Northern Europe segment includes operations in the United Kingdom, the Nordics, Germany and the Netherlands. The Company's APME operations provide a range of workforce solutions and services offered through Manpower, Experis and ManpowerGroup Solutions, including permanent, temporary and contract recruitment, assessment and selection, training and outsourcing. The Company's Right Management segment provides talent and career management workforce solutions. The Company provides services under its Experis brand, particularly in the areas of information technology (IT), engineering and finance.",50205025
MANH.O,US5627501092,MANHATTAN ASSO/d,Manhattan Associates Inc,"Manhattan Associates, Inc. (Manhattan) is a developer and provider of supply chain commerce solutions. The Company operates through three geographical segments: the Americas, Europe, Middle East and Africa (EMEA), and the Asia Pacific (APAC). It is engaged in developing, selling, deploying, servicing and maintaining software solutions designed to manage supply chains, inventory and omni-channel operations for retailers, wholesalers, manufacturers, logistics providers and other organizations. Its solutions consist of software, services and hardware, which coordinate people, workflows, assets, events and tasks across the functions linked in a supply chain from planning through execution. Its supply chain solutions consist of three components: Distribution Management, Transportation Management and Visibility. Its Omni-Channel Solutions include Omni-Channel Central Solutions and Omni-Channel Local Solutions. Its Inventory solutions include Inventory Optimization and Planning.",10101015
MAR.O,US5719032022,MARRIOTT INTER/d,Marriott International Inc,"Marriott International, Inc. (Marriott International) is a lodging company. Marriott International operates in three business segments: North American Full-Service, North American Limited-Service and International. Its North American Full-Service segment includes its Luxury and Premium brands (JW Marriott, Marriott Hotels, Westin, Renaissance Hotels, Le Meridien, Autograph Collection Hotels, Delta Hotels, Gaylord Hotels, and Tribute Portfolio) located in the United States and Canada. Its North American Limited-Service segment includes Select brands (Courtyard, Residence Inn, Fairfield Inn & Suites, SpringHill Suites, Element Hotels and Moxy Hotels) located in the United States and Canada. Its International segment includes JW Marriott, St. Regis, EDITION, Bulgari Hotels & Resorts, Marriott Hotels, Westin, Four Points, Aloft Hotels, AC Hotels by Marriott, Protea Hotels, Element Hotels, and Moxy Hotels located outside the United States and Canada.",40501025
MAS,US5745991068,MASCO CORP/d,Masco Corp,"Masco Corporation designs, manufactures, markets and distributes branded home improvement and building products. The Company operates through two business segments: Plumbing Products, and Decorative Architectural Products. The Company's portfolio of brands includes BEHR paint; DELTA and HANSGROHE faucets, bath and shower fixtures; KRAFTMAID and MERILLAT cabinets; MILGARD windows and doors, and HOT SPRING spas. The Company's plumbing products include faucets, showerheads, handheld showers, valves, bathing units, shower enclosures and toilets and are sold to home center retailers and to wholesalers and distributors. It also produces architectural coatings, including paints, primers, specialty paints, stains and waterproofing products. In North America, it manufactures and sells value-priced, stock and semi-custom assembled cabinetry for kitchen, bath, storage, home office and home entertainment applications.",50101035
MASI.O,US5747951003,MASIMO CORP/d,Masimo Corp,"Masimo Corporation is a global medical technology company that develops, manufactures, and markets noninvasive technologies and hospital automation solutions. Its patient monitoring solution that incorporates a monitor or circuit board, single-patient use or reusable sensors, software and cables. The Company’s main products include Masimo Signal Extraction Technology (SET) pulse oximetry. Its product offerings include noninvasive monitoring of blood constituents with an optical signature, optical regional oximetry monitoring, electrical brain function monitoring, acoustic respiration monitoring, exhaled gas monitoring, nasal high flow ventilation, minimally invasive neuromodulation technology for pain. It sells its products hospitals, emergency medical service (EMS) providers, home care providers, long-term care facilities, physician offices, veterinarians and consumers through direct sales force, distributors and original equipment manufacturers (OEM) partners.",20102010
MAT.O,US5770811025,MATTEL INC/d,Mattel Inc,"Mattel, Inc. manufactures and markets a range of toy products around the world. The Company's segments are North America; International, and American Girl. Its portfolio of owned and licensed brands and products are grouped into four brand categories: Dolls, which includes brands such as Barbie, American Girl, Enchantimals and Polly Pocket; Infant, toddler, and preschool includes brands such as Fisher-Price, Thomas & Friends, Power Wheels, Fireman Sam, and Shimmer and Shine; Vehicles include brands such as Hot Wheels, Matchbox, CARS (Disney Pixar), and Jurassic World, and Action figures, building sets, games, and others include brands such as MEGA, UNO, Toy Story, Jurassic World, world wrestling entertainment (WWE), and Star Wars. The Company's offerings include film and television content, gaming, music and live events. It operates in approximately 35 locations and its products are available in more than 150 countries in collaboration with retail and ecommerce companies.",40203045
MCD,US5801351017,MCDONALD'S COR/d,Mcdonald's Corp,"McDonald's Corporation (McDonald's) operates and franchises McDonald's restaurants. The Company's restaurants serve a locally relevant menu of food and beverages. Its restaurants are owned and operated by independent local business owners. The Company's segments include United States (U.S.), International Operated Markets (IOM) and International Developmental Licensed Markets & Corporate (IDL). The U.S. segment focuses on Company's menu and offerings, as well as delivery and digital platforms. Its IOM segment includes its operations in markets, such as Australia, Canada, France, Germany, Italy, the Netherlands, Russia, Spain and the United Kingdom. Its IDL segment includes its operations in markets, such as Latin America and Asia. Its digital offerings include drive thru, takeaway, delivery, curbside pick-up and dine-in.",40501040
MCHP.O,US5950171042,MICROCHIP TECH/d,Microchip Technology Inc,"Microchip Technology Incorporated is engaged in developing, manufacturing and selling specialized semiconductor products used by its customers for a range of embedded control applications. The Company operates through two segments: semiconductor products and technology licensing. In the semiconductor products segment, the Company designs, develops, manufactures and markets microcontrollers, development tools and analog, interface, mixed signal and timing products. Its functional activities include sales, marketing, manufacturing, information technology, human resources, legal and finance. Its product portfolio comprises general purpose and specialized 8-bit, 16-bit, and 32-bit microcontrollers, a spectrum of linear, mixed-signal, power management, thermal management, radio frequency (RF), timing, safety, security, wired connectivity and wireless connectivity devices, as well as serial electrically erasable programmable read-only memories (EEPROMs) and serial flash memories.",10102010
MCK,US58155Q1031,MCKESSON CRP/d,Mckesson Corp,"McKesson Corporation is a healthcare supply chain management solution, retail pharmacy, community oncology and specialty care, and healthcare information technology company. The Company provides medicines, medical products and healthcare services by partnering with pharmaceutical manufacturers, providers, pharmacies, governments and other organizations in healthcare. It operates through three segments: United States Pharmaceutical and Specialty Solutions, European Pharmaceutical Solutions and Medical-Surgical Solutions. The United States Pharmaceutical and Specialty Solutions segment distributes pharmaceutical and other healthcare related products and provides pharmaceutical solutions to life sciences companies. European Pharmaceutical Solutions segment provides distribution and services to wholesale, institutional and retail customers. Medical-Surgical Solutions segment distributes medical-surgical supplies and provides logistics and other services to healthcare providers.",45201015
MCO,US6153691059,MOODY'S/d,Moody's Corp,"Moody's Corporation (Moody's) is a provider of credit ratings; credit, capital markets and economic related research, data and analytical tools; software solutions and related risk management services, quantitative credit risk measures, financial services training and certification services, and research and analytical services to financial institution customers. The Company operates in two segments: Moody's Investors Service (MIS) and Moody's Analytics (MA). The MIS segment includes its ratings operations. The MA segment develops a range of products and services that support financial analysis and risk management activities of institutional participants in financial markets. The MIS segment includes corporate finance group; structured finance group; financial institutions group; public, project and infrastructure finance, and MIS Other. The MA segment consists of three lines of business: data and analytics business, enterprise risk solutions and professional service.",30201030
MCY,US5894001008,MERCURY GENERL/d,Mercury General Corp,"Mercury General Corporation is an insurance holding company. As of December 31, 2016, the Company and its subsidiaries were engaged in writing personal automobile insurance through 14 insurance subsidiaries in 11 states, principally California. Its segments include Property and Casualty Lines, and Other Lines. Its Property and Casualty segment offers various insurance products to its individual customers and small business customers. Its Other segment offers automobile mechanical breakdown warranties, which are sold through automobile dealerships and credit unions. It also writes homeowners, commercial automobile, commercial property, mechanical breakdown and umbrella insurance. Its insurance policies are sold through independent agents. As of December 31, 2016, it sold its policies through approximately 9,700 independent agents, its owned insurance agencies, Auto Insurance Specialists LLC and PoliSeek AIS Insurance Solutions, Inc., and directly through Internet sales portals.",30302025
MDLZ.O,US6092071058,MONDELEZ INT C/d,Mondelez International Inc,"Mondelez International, Inc. is a snack company. The Company manufactures and markets snack food and beverage products for consumers. It operates through four segments: Latin America, Asia, Middle East, and Africa (AMEA), Europe and North America. Its brands spanned five product categories: Biscuits, including cookies, crackers and salted snacks; Chocolate; Gum and candy; Beverages, including coffee and powdered beverages, and Cheese and grocery. Its portfolio includes various snack brands, including Nabisco, Oreo, LU and belVita biscuits; Cadbury, Milka, Cadbury Dairy Milk and Toblerone chocolate; Trident gum; Halls candy, and Tang powdered beverages. The Company sells its products to supermarket chains, wholesalers, supercenters, club stores, mass merchandisers, distributors, convenience stores, gasoline stations, drug stores, value stores and retail food outlets.",45102020
MDT,IE00BTN1Y115,MEDTRONIC PLC/d,Medtronic PLC,"Medtronic Public Limited Company (Medtronic) is a medical technology and services company. The Company develops, manufactures and markets its medical devices and technologies to hospitals, physicians, clinicians and patients in approximately 160 countries. The Company operates in four segments: Cardiac and Vascular Group, Minimally Invasive Technologies Group, Restorative Therapies Group and Diabetes Group. The Cardiac and Vascular Group segment includes Cardiac Rhythm & Heart Failure, Coronary & Structural Heart and Aortic & Peripheral Vascula. Its Minimally Invasive Technologies Group segment includes Surgical Solutions and Patient Monitoring and Recovery. Its Restorative Therapies Group segment includes Spine, Neuromodulation, Surgical Technologies and Neurovascular. Its Diabetes Group segment includes Intensive Insulin Management, Non-Intensive Diabetes Therapies and Diabetes Services & Solutions. The Company's subsidiaries include Medtronic, Inc. and HeartWare International, Inc.",20102010
MDU,US5526901096,MDU RESOURCES/d,MDU Resources Group Inc,"MDU Resources Group Inc., formerly MDUR Newco, Inc., is engaged in regulated energy delivery and construction materials and services business. The Company's businesses segments are electric, natural gas distribution, pipeline and midstream, construction materials and contracting, and construction services. The electric segment generates, transmits and distributes electricity. The natural gas distribution segment distributes natural gas. The pipeline and midstream segment provides natural gas transportation, underground storage, processing and gathering services, as well as oil gathering. The construction materials and contracting segment mines aggregates and markets crushed stone, sand, gravel and related construction materials, including ready-mixed concrete, asphalt, liquid asphalt and other value-added products. The construction services segment provides utility construction services in constructing and maintaining electric and communication lines.",50101035
MEDP.O,US58506Q1094,MEDPACE HOLDIN/d,Medpace Holdings Inc,"Medpace Holdings, Inc. is a clinical contract research organization. The Company provides clinical research-based drug and medical device development services. The Company partners with pharmaceutical, biotechnology, and medical device companies in the development and execution of clinical trials. The Company's drug development services focus on full service Phase I-IV clinical development services and include development plan design, coordinated central laboratory, project management, regulatory affairs, clinical monitoring, data management and analysis, pharmacovigilance new drug application submissions, and post-marketing clinical support. The Company also provides bio-analytical laboratory services, clinical human pharmacology, imaging services, and electrocardiography reading support for clinical trials. The Company's operations are principally based in North America, Europe, and Asia.",20103010
MELI.O,US58733R1023,MERCADOLIBRE/d,Mercadolibre Inc,"MercadoLibre, Inc. is an e-commerce company. The Company enables commerce through its marketplace platform in Latin America, which is designed to provide users with a portfolio of services to facilitate commercial transactions. Its geographic segments are Brazil, Argentina, Mexico Venezuela and Other Countries (which includes Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, Panama, Peru, Portugal, Guatemala, Bolivia, Paraguay, Uruguay and the United States of America). It also operates online commerce platforms in the Dominican Republic, Honduras, Nicaragua, Salvador, Panama, Bolivia, Guatemala, Paraguay and Portugal. It offers an ecosystem of six integrated e-commerce services: the MercadoLibre Marketplace, the MercadoLibre Classifieds Service, the MercadoPago payments solution, the MercadoLibre advertising program, the MercadoShops online Webstores solution and the MercadoEnvios shipping service.",40201070
MET,US59156R1086,METLIFE INC/d,MetLife Inc,"MetLife, Inc. (MetLife) is a financial services company. The Company is principally engaged in providing insurance, annuities, employee benefits and asset management services. The Company's segments include U.S.; Asia; Latin America; Europe, the Middle East and Africa (EMEA); and MetLife Holdings. Its U.S. segment is organized into Group Benefits, and Retirement and Income Solutions. The Company's Asia segment offers products, including life insurance; accident and health insurance, and retirement and savings products. Latin America offers products, including life insurance, and retirement and savings products. Life insurance includes universal, variable and term life products. EMEA offers products, including life insurance, accident and health insurance, retirement and savings products, and credit insurance. MetLife has operations in approximately 40 markets globally, including United States, Japan, Latin America, Asia, Europe and the Middle East.",30301010
MGM,US5529531015,MGM RESORTS IN/d,MGM Resorts International,"MGM Resorts International is a holding company. The Company, through its subsidiaries, owns and operates casino resorts. The Company operates in two segments: domestic resorts and MGM China. Its domestic resorts segment consists of non-gaming operations, including hotel, food and beverage, entertainment and other non-gaming amenities. Its casino operations feature a range of slots, table games, and race and sports book wagering. Its MGM China’s operations consist of the MGM Macau resort and casino, and the development of an integrated casino, hotel and entertainment resort on the Cotai Strip in Macau. Under its resort operation, the Company's casino resorts offer gaming, hotel, convention, dining, entertainment, retail and other resort amenities. It owns Primm Valley Golf Club at the California/Nevada state line and Fallen Oak golf course in Saucier, Mississippi, among others.",40501020
MHK,US6081901042,MOHAWK INDS/d,Mohawk Industries Inc,"Mohawk Industries, Inc. is a flooring manufacturer that creates products for residential and commercial spaces around the world. The Company' segments include Global Ceramic, Flooring North America (Flooring NA) and Flooring Rest of the World (Flooring ROW). Its manufacturing and distribution processes provide carpet, rugs, ceramic tile, laminate, wood, stone, luxury vinyl tile and vinyl flooring. The Global Ceramic segment designs, manufactures, sources, distributes and markets a line of ceramic tile, porcelain tile and natural stone products used in the residential and commercial markets for both remodeling and new construction. The Flooring NA segment designs, manufactures, sources, distributes and markets carpet, laminate, carpet pad, rugs, hardwood and vinyl. The Flooring ROW segment designs, manufactures, sources, distributes and markets laminate, hardwood flooring, roofing elements, insulation boards, medium-density fiberboard (MDF), chipboards, and vinyl flooring products.",40202015
MIDD.O,US5962781010,THE MIDDLEBY/d,Middleby Corp,"The Middleby Corporation, through its operating subsidiary Middleby Marshall Inc., and its subsidiaries, is engaged in the design, manufacture, marketing, distribution and service of a broad line of foodservice equipment; food preparation, cooking, baking, chilling and packaging equipment and kitchen equipment. Its segments include the Commercial Foodservice Equipment Group, the Food Processing Equipment Group and the Residential Kitchen Equipment Group. Commercial Foodservice Equipment Group has a portfolio of foodservice equipment, which enable it to serve cooking, warming, refrigeration, freezing and beverage application within a commercial kitchen or foodservice operation. Food Processing Equipment Group offers a portfolio of processing solutions for customers producing pre-cooked meat products. Residential Kitchen Equipment Group manufactures, sells and distributes kitchen equipment for the residential market.",50204000
MKC,US5797802064,MCCORMICK & CO/d,McCormick & Company Inc,"McCormick & Company, Inc is engaged in manufactures, markets and distributes spices, seasoning mixes, condiments and other flavorful products to the food industry-retailers, food manufacturers and foodservice businesses. The Company also partners with various companies that are involved in the manufacture and sale of flavorful products. The Company operates in two business segments: Consumer and Flavor Solutions. The Company’s sales, distribution and production facilities are located in North America, Europe and China. Additional facilities are based in Australia, India, Central America, Thailand and South Africa.",45102020
MKSI.O,US55306N1046,MKS INSTRUMENT/d,MKS Instruments Inc,"MKS Instruments, Inc. is a global provider of instruments, subsystems and process control solutions that measures, controls, powers, delivers, monitors and analyzes critical parameters of advanced manufacturing processes. The Company operates through two segments, including the Vacuum & Analysis segment and the Light & Motion segment. The Vacuum & Analysis segment provides a range of instruments, components, subsystems and software, which are derived from its core competencies in pressure measurement and control, flow measurement and control, gas and vapor delivery, gas composition analysis, residual gas analysis, leak detection, control and information technology, ozone generation and delivery, radio frequency (RF) and direct current (DC) power, reactive gas generation and vacuum technology. The Light & Motion segment provides a range of instruments, components and subsystems, which are derived from its core competencies in lasers, photonics and optics.",50202020
MKTX.O,US57060D1081,MARKETAXESS/d,Marketaxess Holdings Inc,"MarketAxess Holdings Inc. operates an electronic trading platform that enables fixed-income market participants to trade corporate bonds and other types of fixed-income instruments using its trading technology. Institutional investor and broker-dealer firms are users of trading platform, accessing global liquidity in the United States corporate bonds, emerging markets and high-yield bonds, European bonds, the United States agency bonds, municipal bonds, credit default swaps and other fixed-income securities. Through Open Trading protocols, it executes trades in certain bonds between and among institutional investor and broker-dealer clients in a trading environment on a matched principal basis. It offers trading-related products and services, including market data to assist clients with trading decisions; connectivity solutions that facilitate straight-through processing; technology services to optimize trading environments, and execution services for exchange-traded fund managers.",30202015
